2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:845 in func1) | Using '/opt/datadog-agent/embedded' as Python home
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Starting to load the configuration
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Loading proxy settings
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Starting to resolve secrets
2025-09-17 09:03:48 UTC | CORE | WARN | (pkg/util/log/log.go:885 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Finished resolving secrets
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:845 in func1) | Agent did not find PodResources socket at /var/lib/kubelet/pod-resources/kubelet.sock
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/util/log/log.go:845 in func1) | 3 Features detected from environment: kubernetes,kube_orchestratorexplorer,docker
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/config/setup/config.go:2171 in LoadCustom) | Starting to load the configuration
2025-09-17 09:03:48 UTC | CORE | WARN | (pkg/system-probe/config/adjust_npm.go:97 in adjustNetwork) | disabling process event monitoring as it is not supported for this kernel version
2025-09-17 09:03:48 UTC | CORE | WARN | (pkg/system-probe/config/adjust_usm.go:63 in adjustUSM) | disabling USM event stream as it is not supported for this kernel version
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/forwarder.go:81 in createOptions) | starting forwarder with 1 endpoints
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/forwarder.go:87 in createOptions) | domain 'https://app.datadoghq.eu.' has 1 keys: ***************************0ec92
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/core/ipc/impl@v0.69.3/ipc.go:91 in NewReadWriteComponent) | starting to load the IPC auth primitives (timeout: 30s)
2025-09-17 09:03:48 UTC | CORE | WARN | (pkg/api/security/cert/cert_getter.go:35 in getCertFilepath) | IPC cert/key created or retrieved next to auth_token_file_path location: /etc/datadog-agent/auth/ipc_cert.pem
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/core/ipc/impl@v0.69.3/ipc.go:201 in printAuthSignature) | successfully loaded the IPC auth primitives (fingerprint: 7a7f2542d29d5583)
2025-09-17 09:03:48 UTC | CORE | INFO | (pkg/process/metadata/workloadmeta/extractor.go:85 in NewWorkloadMetaExtractor) | Instantiating a new WorkloadMetaExtractor
2025-09-17 09:03:48 UTC | CORE | INFO | (comp/core/tagger/impl/tagger.go:110 in NewComponent) | Tagger is created
2025-09-17 09:03:50 UTC | CORE | INFO | (pkg/util/kubernetes/clustername/clustername.go:80 in getClusterName) | Got cluster name minikube from config
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-09-17 09:03:55 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:204 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2025-09-17 09:03:55 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:153 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2025-09-17 09:03:55 UTC | CORE | INFO | (pkg/aggregator/time_sampler.go:56 in NewTimeSampler) | Creating TimeSampler #0
2025-09-17 09:03:55 UTC | CORE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 2
2025-09-17 09:03:55 UTC | CORE | WARN | (pkg/util/cgroups/pid_mapper.go:108 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/rdnsquerier/impl/rdnsquerier.go:83 in NewComponent) | Reverse DNS Enrichment config: (enabled=false workers=0 chan_size=0 cache.enabled=true cache.entry_ttl=0 cache.clean_interval=0 cache.persist_interval=0 cache.max_retries=-1 cache.max_size=0 rate_limiter.enabled=true rate_limiter.limit_per_sec=0 rate_limiter.limit_throttled_per_sec=0 rate_limiter.throttle_error_threshold=0 rate_limiter.recovery_intervals=0 rate_limiter.recovery_interval=0)
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/netflow/server/server.go:63 in newServer) | Reverse DNS Enrichment is disabled for NDM NetFlow
2025-09-17 09:03:55 UTC | CORE | WARN | (comp/networkpath/npcollector/npcollectorimpl/config.go:56 in newConfig) | config key "network_path.collector.tcp_method" is unknown
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-09-17 09:03:55 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:282 in NewDefaultForwarder) | Retry queue storage on disk is disabled
